name,address,rooms,price,total_price,phone
绿城华发金陵月华,建邺兴隆街道兴隆大街以北、螺丝桥大街以西,['四居(6)'],76205元/m^2,1562-2439万元,400-176-0760 转 649510
华润置地中心,雨花陇淮路与华新路交汇处,"['一居(3)', '三居(2)', '四居(1)']",200-374元/m^2,700000-1850000万元,400-176-0760 转 628833
联发华发嘉和华府,江宁东山竹山路与潭园西路交汇处北侧约110米,[],42800元/m^2,382-823万元,400-176-0760 转 648631
金陵中心,秦淮东至冶修二路，南至机场河,[],47161元/m^2,412-1073万元,400-176-0760 转 617523
润珹中心|润玺,鼓楼南京市鼓楼区虎踞北路与模范中路交叉口7号线古平岗地铁站在建中,[],28000元/m^2,,暂无售楼处电话
滨江雅园（北外滩水城）,浦口江北新区柳州东路198号,"['二居(1)', '三居(3)']",22142元/m^2,190-288万元,400-176-0760 转 613595
华侨城翡翠天域,栖霞公办南外旁 疏港大道与欢乐大道交汇处,"['三居(3)', '四居(4)']",24300元/m^2,232-522万元,400-176-0760 转 846415
中冶盛世滨江—锦绣天玺,鼓楼鼓楼区宝塔桥西街155号,['五居以上(1)'],48000元/m^2,1500万元,400-176-0760 转 631479
碧桂园凤凰城,其他南京东·汤山旁·S6轻轨黄梅站,"['三居(3)', '四居(3)']",6500元/m^2,35-336万元,400-176-0760 转 662475
世茂璀璨滨江,鼓楼南通路118号,"['二居(1)', '三居(3)', '四居(2)']",311-635元/m^2,,400-176-0760 转 893190
保利荣盛合悦,六合江北大道快速路与龙华东路的交汇处,"['三居(5)', '四居(1)', '五居(1)']",待定元/m^2,,400-176-0760 转 609017
星河国际,玄武恒嘉路和华跃路交汇处,"['三居(1)', '四居(3)']",待定元/m^2,,400-176-0760 转 653546
金隅紫京叠院,浦口江浦街道黄山岭路21号,['四居(6)'],30000元/m^2,300-768万元,400-176-0760 转 863205
佳源国际天域,浦口浦滨路与卓越路交汇处,"['三居(5)', '四居(1)']",30300元/m^2,270-400万元,400-176-0760 转 818392
升龙桃花园著,建邺江心洲夹江大桥与葡园路交汇处,"['二居(3)', '三居(4)', '四居(2)']",36624元/m^2,,400-176-0760 转 653233
荣盛鹭岛荣府,六合马鞍街道鹭岛南路3号,"['二居(5)', '三居(20)', '四居(9)']",12069元/m^2,89-297万元,400-176-0760 转 653590
建发央誉,溧水石燕路与幸庄路交汇处,"['三居(2)', '四居(4)']",15781元/m^2,142-253万元,400-176-0760 转 653380
GARDEN 19丨贤坤花园,建邺贤坤路,"['三居(1)', '四居(1)']",58400元/m^2,1156-1472万元,400-176-0760 转 649925
中建·合玺东方,建邺建邺区南苑街道怡康街以南、黄山路以东地块,['四居(6)'],73000元/m^2,1221-1971万元,400-176-0760 转 653458
龙湖天曜城,浦口江苏省南京市浦口区光明路与台北路交叉口,"['三居(1)', '四居(2)']",200-423元/m^2,,400-176-0760 转 636093
招商·金陵序,建邺建邺区南苑街道江东中路以东、福园街以南地块,[],991-1887元/m^2,,400-176-0760 转 652449
南京信泰中心,鼓楼南京市鼓楼区江东街道江东北路与清凉门大街交界处西北侧 ,"['一居(1)', '二居(1)', '三居(1)']",32000元/m^2,,400-176-0760 转 645624
中信泰富·九庐,秦淮秦淮区佳营路与神机营路交汇处,"['三居(1)', '四居(6)']",60077元/m^2,751-1382万元,400-176-0760 转 652004
 中海·江南玖序,建邺建邺邺城路与平良大街交汇处,['四居(6)'],81446元/m^2,2715万元,400-176-0760 转 651849
金宸熙苑,秦淮南京市秦淮区中山东路518号,"['三居(2)', '四居(3)']",52500元/m^2,551-977万元,400-176-0760 转 651751
秦淮金茂府,秦淮校场大道以北，神机营路以西,"['三居(2)', '四居(2)']",57036元/m^2,816-1369万元,400-176-0760 转 641333
招商局中心·臻境,玄武北苑东路与大壮观路交汇处,"['三居(2)', '四居(2)']",51000元/m^2,600-920万元,400-176-0760 转 632264
龙湖丨兴邦·揽境,六合北外街与园林西路交汇处,['三居(3)'],12800元/m^2,114-148万元,400-176-0760 转 619880
高科江悦堂,栖霞燕津大道与新燕路交汇处,"['四居(3)', '五居(1)']",52000元/m^2,1118-1664万元,400-176-0760 转 650087
奥体建设瑞香园,浦口七里河大街,[],39593元/m^2,386-1944万元,400-176-0760 转 647602
牡丹大观天下,江宁麒麟片区纬七路以北、经二路以西地块（汇2地块），东至经二路，南至纬七路，西至现状，北至纬五路。,"['三居(1)', '四居(2)']",29989元/m^2,309-429万元,400-176-0760 转 634154
仁恒城市星瀚,浦口团结路,[],30500元/m^2,252-427万元,400-176-0760 转 649476
颐和·缦山,栖霞S6号线百水桥地铁站南300米,['三居(2)'],34375元/m^2,284-399万元,400-176-0760 转 642437
中海江湾境,"建邺建邺区江心洲中新大道以东、文泰街以北（22-007、22-013）地块,东至熙怡路；南至文泰街；西至规划中新大道；北至规划文治街。",['四居(2)'],54968元/m^2,784-1007万元,400-176-0760 转 644780
万科·都荟沐语,溧水南京市溧水区体育公园路与薛李东路交汇处,"['三居(1)', '四居(4)']",17908元/m^2,194-270万元,400-176-0760 转 627330
五矿澜悦溪山,江宁高新园正方大道与诗梦路交汇处,"['三居(2)', '四居(1)']",30645元/m^2,287-380万元,400-176-0760 转 737193
江山大境,浦口浦云路与棠云路交汇处,"['三居(3)', '四居(3)']",32000元/m^2,230-507万元,400-176-0760 转 856805
星河·钟山盛世,"江宁麒麟科创园丹青路以南、泰盈路以西地块,东至泰盈路，南至丹霞路，西至三号路，北至丹青路",['三居(2)'],29671元/m^2,283-329万元,400-176-0760 转 634165
璀璨云著,栖霞兴智科创新城兴智路与恒久路交汇处,"['二居(1)', '三居(3)', '四居(1)']",29748元/m^2,222-389万元,400-176-0760 转 613981
荣锦瑞府,浦口沿江街道宁六路东侧泰冯路西侧,"['三居(3)', '四居(1)']",26300元/m^2,234-355万元,400-176-0760 转 631595
华润置地·观云润府,雨花七贤街与龙西路交汇处南行约200米,"['三居(2)', '四居(1)']",40000元/m^2,414-600万元,400-176-0760 转 648262
金基瞻月府,秦淮过兵桥路,[],69800元/m^2,,400-176-0760 转 643143
璀璨璟园,江宁兴民南路与科宁路交汇处,"['三居(1)', '四居(1)']",35116元/m^2,350-473万元,400-176-0760 转 642268
玖宸府,溧水永阳街道石燕路以东、崇文路以北地块，东至薛李东路，南至崇文路，西至石燕路，北至体育公园路。,['四居(3)'],17988元/m^2,215-316万元,400-176-0760 转 628132
中国铁建花语湖畔,溧水永阳街道秦淮大道以东、秀园路以北地块，东至河道，南至秀园路，西至秦淮大道，北至河道。,"['四居(3)', '五居(1)']",17854元/m^2,215-414万元,400-176-0760 转 636486
华发·四季雅筑,栖霞栖霞区燕子矶街道壮举路与吉祥街交汇处,"['三居(3)', '四居(1)']",34224元/m^2,339-479万元,400-176-0760 转 632051
凤凰紫金和旭府,玄武孝陵卫街道双拜巷65号,"['三居(1)', '四居(3)']",55749元/m^2,721-1381万元,400-176-0760 转 648778
象屿华发·铂萃云湾,江宁南京百家湖明城大道与秦淮路交汇处,[],42909元/m^2,345万元,400-176-0760 转 644208
金地都会峯范,栖霞经济技术开发区兴智片区，东至兴学路，南至纬六路，西至规划经十二路，北至恒广路,['三居(3)'],30097元/m^2,268-331万元,400-176-0760 转 644582
云萃府,秦淮东临承天大道，南临规划支路，西临冶东一路，北临嘉园路,['四居(2)'],46872元/m^2,662万元,400-176-0760 转 626706
钟山峰景,秦淮光华路与友谊河路交汇处,"['三居(1)', '四居(4)', '五居(5)']",47000元/m^2,555-799万元,400-176-0760 转 615410
亚东金基·暄玥府,六合毕洼路与山潘二路交汇处（新华路交通银行往北约300米）,"['三居(2)', '四居(1)']",21435元/m^2,223-304万元,400-176-0760 转 632604
中北金基璞悦隽园,秦淮南京市秦淮区南部新城红花路,['三居(1)'],46822元/m^2,545万元,400-176-0760 转 644458
金基·璟樾府,秦淮东至现状，南至石杨路，西至现状，北至规划宁芜路。,"['三居(1)', '四居(1)']",47000元/m^2,680-920万元,400-176-0760 转 634868
新睿樾府,秦淮南部新城国际路与夹门岗路交汇处,['四居(1)'],54527元/m^2,541-906万元,400-176-0760 转 644982
万科未来城,溧水团山路和星河路交汇处,"['二居(1)', '三居(4)', '四居(1)']",13220元/m^2,101-169万元,400-176-0760 转 714611
保利·国贸璟上,栖霞南京市栖霞区和燕路与宜春街交汇处,['三居(5)'],36543元/m^2,265-515万元,400-176-0760 转 644504
保利·燕璟和颂,栖霞栖霞区燕子矶街道燕园路以东、寅春西路以北地块，东至现状，南至寅春西路，西至燕园路,['三居(2)'],35175元/m^2,275-450万元,400-176-0760 转 645555
保利扬子萃云台,浦口江北新区广西埂大街以北、九袱洲路以东（NJJBd010-14-20、14-22）地块,[],36800元/m^2,386-550万元,400-176-0760 转 645368
金基山川江樾,浦口兴隆路与望江路交汇处,[],38500元/m^2,532-1867万元,400-176-0760 转 648146
源尚丹若府,建邺双闸街道秦新路以北、横坝街以西,['四居(1)'],54616元/m^2,831-1134万元,400-176-0760 转 648867
保利博雅和著,秦淮南京市秦淮区红花街道汇秀路与祥天路交汇处（南外本部旁）,[],56084元/m^2,482-854万元,400-176-0760 转 647559
蓝联盟共享梦工厂,溧水南京市溧水区柘塘镇福田路8号,[],8000元/m^2,,暂无售楼处电话
颐和天晟府,建邺云龙山路与牡丹江街交汇处,['四居(3)'],73992元/m^2,1990-2863万元,400-176-0760 转 648400
华侨城欢乐时光,溧水溧水区宝塔路宝塔桥北,['三居(3)'],15296元/m^2,136-214万元,400-176-0760 转 626868
仁恒城市星皓,浦口华创路,[],31999元/m^2,348-469万元,400-176-0760 转 648972
华宇·林湖雅舍,江宁龙济路2号,"['三居(2)', '四居(1)']",26870元/m^2,220-314万元,400-176-0760 转 628105
滨江龙湖翡翠上城,栖霞恒竞路与尧新大道交叉口向南200米,"['三居(2)', '四居(1)']",28000元/m^2,240-360万元,400-176-0760 转 630652
高科紫星堂,栖霞阳春路,[],52620元/m^2,1111-2249万元,400-176-0760 转 648402
紫玥,溧水石燕路与崇文路交叉路口（邻近实验小学崇文路校区）,"['四居(3)', '五居(1)']",16850元/m^2,221-262万元,400-176-0760 转 627803
博园,浦口南京市浦口区东大路与泰学路交界处,"['二居(2)', '三居(4)']",28651元/m^2,255-381万元,400-176-0760 转 632784
绿城·合锦观澜,六合雄州街道绿城合锦观澜,[],18897元/m^2,204-336万元,暂无售楼处电话
建发缦云,建邺南京·河西南·螺塘路与新亭街交汇处,"['三居(1)', '四居(2)']",55000元/m^2,610-1000万元,400-176-0760 转 640320
大华南门望,六合雄州西路与龙池路的交汇处,"['三居(3)', '四居(1)']",19628元/m^2,175-251万元,400-176-0760 转 622744
仁恒星寓,江宁南京麟科创CBD·中央公园旁(沧波门南街与星辉路交汇处）,"['一居(4)', '二居(2)']",18536元/m^2,83-182万元,400-176-0760 转 648121
悦著九章,江宁江宁区东山街道宏运大道(东至中驰路； 南至规划道路； 西至明城大道； 北至宏运大道。),['三居(2)'],49159元/m^2,437-532万元,400-176-0760 转 647638
紫京四季,江宁秣陵街道汉侯路以北、玉麟路以西地块，东至玉麟路，南至汉侯路，西至规划道路，北至秦县路。,"['三居(2)', '四居(1)']",33970元/m^2,340-474万元,400-176-0760 转 632591
宋都柏悦府,雨花板桥新城新湖大道与华兴大街交汇处,"['三居(3)', '四居(3)']",28555元/m^2,256-362万元,400-176-0760 转 724028
长江悦府,"鼓楼幕府山街道五佰村路东西两侧地块,东至幕府花园小区，南至格林东苑等小区。","['三居(2)', '四居(3)']",43600元/m^2,495-756万元,400-176-0760 转 632215
中南梧桐公馆,高淳淳溪街道南漪路与淳兴路交汇处,[],14174元/m^2,170-248万元,400-176-0760 转 645386
伟星长江之歌,建邺邺城路与平良大街交汇处,['四居(2)'],75557元/m^2,1874-2380万元,400-176-0760 转 645244
仁恒云谷世纪,江宁东至文瑞路；南至智汇路；西至沧波门北街；北至运粮河东路,"['三居(1)', '四居(3)']",34640元/m^2,337-571万元,400-176-0760 转 646958
云树公馆,雨花丁墙路9号,['三居(1)'],33000元/m^2,,400-176-0760 转 815721
建发璞云,雨花数字大道与守正路交汇处,"['三居(5)', '四居(1)']",45480元/m^2,416-600万元,400-176-0760 转 644695
万科·溪望城,高淳南京市高淳区北漪路与汶溪路交汇处向东200米,"['三居(2)', '四居(1)']",14433元/m^2,134-200万元,400-176-0760 转 640505
美都·星屿熹,江宁南京市 仙林中 东至经三路，南至纬八路，西至经二路，北至纬七路,"['二居(2)', '三居(2)']",30824元/m^2,231-274万元,400-176-0760 转 640204
星叶半山玥府,栖霞栖霞区仙林街道毕生路以南，经天路以西,['四居(4)'],39800元/m^2,388-842万元,400-176-0760 转 644933
中冶锦绣公馆,鼓楼鼓楼区复兴南路以东，东至滨江路、西至复兴南路、北邻江边路,"['二居(1)', '三居(2)', '四居(1)']",52000元/m^2,260-660万元,400-176-0760 转 649064
睦水香邻,高淳淳溪街道丹阳湖北路28号,[],10444元/m^2,104-249万元,400-176-0760 转 632550
星河中心,玄武南京市玄武区望山路18号,['一居(1)'],17696元/m^2,,400-176-0760 转 647833
江尚紫薇,建邺江心洲梅子洲路与文萃街交汇处,"['三居(1)', '四居(3)']",638元/m^2,,400-176-0760 转 639363
兰溪樾府,浦口五华路兰溪樾府,[],25350元/m^2,209-348万元,400-176-0760 转 645150
深业南湾上府,建邺建邺区双闸街道螺塘路以南，建元南街以西地块，东至建元南街，南至秦新路，西至规划支路，北至螺塘路。,"['三居(1)', '四居(3)']",51000元/m^2,730-960万元,400-176-0760 转 645600
禧樾府,"江宁东至绿都大道,’南至站前二路,西至农花路,北至站前一路",[],45397元/m^2,456-620万元,400-176-0760 转 647010
颐和铂樾府,建邺秦新路,[],54000元/m^2,620-710万元,400-176-0760 转 647701
天琴华樟,建邺南至规划支路文泰路，东隔绿地至红 菱街，北隔绿地至扬子江大道，西至,['四居(3)'],75239元/m^2,2257-4725万元,400-176-0760 转 647646
龙湖山与城,浦口江苏省南京市浦口区银泉西路,"['三居(1)', '四居(4)']",21363元/m^2,355-599万元,400-176-0760 转 628170
金地·大成汇文府,"秦淮南部新城国际路以东、机场四路以南地块,东至规划冶西二路，南至规划机场六路","['三居(2)', '四居(2)']",46858元/m^2,647-1171万元,400-176-0760 转 633055
星叶枫情玥府,"栖霞湛墅路以西、水泥厂路以北地块,东至湛墅路，南至水泥厂路，西至邮轮大道，北至江南路。",[],27606元/m^2,220-332万元,400-176-0760 转 647850
中宁府,建邺东至红菱街，南至邺城路，西至平良大街，北至双闸路。,[],80000元/m^2,1400-2000万元,暂无售楼处电话
中冶锦绣和鸣,雨花凤集大道以南、新湖大道以西地块，东至新湖大道，南至现状，西至规划道路，北至现状。,"['三居(2)', '四居(1)']",25405元/m^2,218-338万元,400-176-0760 转 632265
玖华府,江宁正方大道以北、新前路以西地块，东至新前路，南至正方大道，西至规划道路，北至新丰南路。,"['三居(2)', '四居(1)']",26304元/m^2,224-355万元,400-176-0760 转 632323
星叶燕尚玥府,栖霞栖霞区燕子矶新城怡园东路以东、燕恒路以北地块，东至现状，南至燕恒路，西至怡园东路，北至现状。,"['三居(1)', '四居(1)']",28000元/m^2,225-676万元,400-176-0760 转 642983
星叶·云墅,建邺建邺区双闸街道太清路以南，隆和街以西地块，东至天保东河，南至高庙路，西至青莲街，北至太清路。,[],48221元/m^2,999-1700万元,400-176-0760 转 645206
龙湖·天玺,浦口浦口区桥林新城双峰路与东垅路交叉口，地铁s3号线兰花塘站向南300米处,['三居(2)'],27452元/m^2,213-263万元,400-176-0760 转 630542
创维·文悦府,溧水永阳街道青年路以北、钟灵北路以西，东至空地，南至青年路，西至仪凤路，北至青年北路。,"['三居(1)', '四居(1)']",16600元/m^2,196-237万元,400-176-0760 转 645375
德信·星宸,江宁吉印大道和秣周中路交汇处,"['三居(2)', '四居(1)']",23109元/m^2,204-291万元,400-176-0760 转 621889
天安云境,溧水南京市溧水区秦淮大道288号E4栋,[],16250元/m^2,133-293万元,400-176-0760 转 629078
龙湖滨江上城,江宁锦文大道和弘利路交汇处,['一居(2)'],17000元/m^2,165-170万元,400-176-0760 转 626845
玄武宝龙城,玄武红山新城寒光亭路与北苑东路交汇处,['三居(2)'],450-509元/m^2,,400-176-0760 转 613500
弘阳云玥美著苑,六合新华路与园东路交界处,['三居(3)'],21853元/m^2,208-250万元,400-176-0760 转 626879
越江时代,浦口南京市浦口区城南河路和横江大道交汇处（青奥公园旁）,"['三居(2)', '四居(2)']",35093元/m^2,367-471万元,400-176-0760 转 627882
武夷·七里湖山,江宁东至湖山路；南至励勤路；西至湖西路；北至文靖路。,[],35000元/m^2,337-486万元,400-176-0760 转 645373
金基雅玥,雨花东至喻村路，南至圣玻路，西临美璟路，北至天保桥路,"['三居(2)', '四居(1)']",33000元/m^2,330-420万元,400-176-0760 转 628172
紫麟景院,江宁江宁东至沧波门南街，男至东麒路，西至光华路，北至智汇路,[],30555元/m^2,255-531万元,400-176-0760 转 644713
金陵中環,秦淮中山南路,"['一居(1)', '二居(3)', '三居(4)']",53000元/m^2,,400-176-0760 转 621824
中冶锦绣和轩,鼓楼南京鼓楼区江边路33号,['一居(1)'],40048元/m^2,184万元,暂无售楼处电话
星叶翰锦院,秦淮地铁5号线朝天宫站上盖物业地块,[],74100元/m^2,1142-2071万元,暂无售楼处电话
国贸璟原,浦口兰花塘地铁站沿双峰路向南300米,"['三居(1)', '四居(1)']",26494元/m^2,236-302万元,400-176-0760 转 633755
三金·睿境,秦淮校场大道与柴园北路交汇处（南京市不动产档案馆旁）,"['三居(1)', '四居(1)']",51000元/m^2,599-710万元,400-176-0760 转 637768
星叶欢乐城,雨花三山矶路和振兴西路交汇处,"['二居(3)', '四居(1)']",25000元/m^2,200-288万元,400-176-0760 转 703324
云辰原麓,江宁紫东新区泉都大街与若水路交叉处,['三居(2)'],20569元/m^2,169-199万元,400-176-0760 转 627990
观岚久筑,溧水机场路55号,"['三居(2)', '四居(1)']",14320元/m^2,140-189万元,400-176-0760 转 633935
绿城凤栖潮鸣,秦淮秦淮区国东路以东、嘉园路以北地块，东至中和桥路小区，南至嘉园路，西至国东路，北至秦淮南路。,[],51398元/m^2,708-1909万元,400-176-0760 转 645446
天萃,雨花北至西寇北路，东至龙舌路，南至吉祥路,"['三居(3)', '四居(2)']",36199元/m^2,328-578万元,400-176-0760 转 633725
锦绣云麓,雨花宁芜公路和乐欣路交汇处锦绣云麓营销中心,"['二居(1)', '三居(2)']",26376元/m^2,190-275万元,400-176-0760 转 620879
熹樾,溧水状元坊公园对面熹樾营销中心,"['三居(3)', '四居(2)']",17535元/m^2,184-289万元,400-176-0760 转 622775
都会诚品,浦口江北国家级新区直管区-S8号线高新开发区站口,['三居(2)'],27963元/m^2,249-294万元,400-176-0760 转 616752
金沙一品,浦口珍珠街与浦乌路交叉口,"['二居(1)', '三居(2)']",24000元/m^2,221-436万元,400-176-0760 转 644655
联发云启,江宁科技大道与银杏湖大道交汇处,['三居(3)'],22350元/m^2,219-279万元,400-176-0760 转 610123
云湖悦府,江宁空港新城義和路以东、义庆路以北地块东至朝霞路，南至义庆路，西至義和路，北至崇德路。,[],19654元/m^2,150-210万元,400-176-0760 转 645225
伟星时代悦峰,雨花软件谷正核 数字大道与花神大道交界处,['三居(2)'],426-463元/m^2,,400-176-0760 转 641083
绿城云栖玫瑰园,雨花雨花台区岱山东路与岱山南路交汇处,"['二居(6)', '三居(2)', '四居(4)']",35000元/m^2,400-880万元,400-176-0760 转 869367
嘉福金粼,江宁泉都大街与经十路交汇处东南侧,"['三居(4)', '四居(1)']",18500元/m^2,165-287万元,400-176-0760 转 641697
富园·栖望府,栖霞迈皋桥街道迈尧西路以北、北苑东路以西地块，东至北苑东路，南至迈尧西路。,[],38057元/m^2,368-510万元,400-176-0760 转 645481
兰亭和颂,栖霞仙林大道以北、天佑路以西（EAc030-12-48）地块，东至现状，南至现状，西至白象路，北至现状。,[],36221元/m^2,223-540万元,400-176-0760 转 645333
中海和山,江宁江宁区方山新城吉印大道与丽泽路交汇处（开市客东侧),"['三居(1)', '四居(2)']",30285元/m^2,308-441万元,400-176-0760 转 645178
首开·南岸潮鸣,雨花岱山南路与横村街交汇处,['三居(2)'],33451元/m^2,289-367万元,400-176-0760 转 632836
碧桂园·云顶,其他句容市S122省道与宁杭北路交汇处,"['三居(2)', '四居(3)']",6700元/m^2,64-98万元,400-176-0760 转 847851
晴翠府,浦口南至浦滨路，北至悦辰府，西至定山大街，东至广西梗大街,"['三居(1)', '四居(5)']",38513元/m^2,431-635万元,400-176-0760 转 628730
石林云城,雨花凤集大道2号,"['二居(1)', '三居(6)', '四居(7)']",20031元/m^2,172-395万元,400-176-0760 转 810097
佳兆业弘阳云溪璟园,江宁永欣大道和湖秦路交界处,"['三居(3)', '四居(1)']",20512元/m^2,174-250万元,400-176-0760 转 713459
星叶栖悦湾,建邺文泰街以北、汇德路以东地块，东至现状，南至文泰街西至汇德路，北至文艺街。,"['三居(2)', '四居(1)']",41000元/m^2,536-711万元,400-176-0760 转 639126
奥体建设·云尚紫薇,秦淮南京·南部新城·国际路,"['三居(1)', '四居(2)', '五居(1)']",46000元/m^2,658-1026万元,400-176-0760 转 635850
上铁淮风晓月,雨花南京市雨花台区虹悦城旁、S2号线凤台南路站,"['三居(1)', '四居(1)']",45500元/m^2,501-623万元,400-176-0760 转 631962
山和九著府,栖霞栖霞区欢乐大道与规划江南路交汇处,['三居(3)'],26600元/m^2,217-296万元,400-176-0760 转 624012
江山汇·璟寓,鼓楼江山汇璟寓营销中心,"['一居(6)', '三居(1)']",25800元/m^2,,400-176-0760 转 627180
江悦兰园,浦口桥林街道杜英路以南、白檀路以西地块，东至白檀路，南至青柳路，西至东陇路，北至杜英路。,"['三居(2)', '四居(2)']",25424元/m^2,200-380万元,400-176-0760 转 633260
中粮·悦见里,江宁鹏山路26号,['一居(4)'],23000元/m^2,80万元,400-176-0760 转 833234
世瑞大厦,鼓楼南京市鼓楼区南瑞路,[],35000元/m^2,160万元,400-176-0760 转 645591
颐居·朗诗紫熙府,溧水天生桥大道与琴音大道交汇处,"['二居(1)', '三居(2)', '四居(1)']",15200元/m^2,126-196万元,400-176-0760 转 889275
南京托尼洛·兰博基尼艺术公寓,鼓楼中央路339号,"['开间(1)', '一居(1)', '二居(1)']",50000元/m^2,230-615万元,400-176-0760 转 632815
凤溪苑,江宁格致路与凤溪西路交汇处,"['三居(1)', '四居(2)']",32080元/m^2,286-456万元,400-176-0760 转 629009
雅居乐汇港城,浦口滨江大道与虎桥路交汇处,"['三居(3)', '四居(1)']",27800元/m^2,294-500万元,400-176-0760 转 610032
玖樾印象,秦淮石杨路与友谊河路交汇处,"['三居(1)', '四居(1)']",41000元/m^2,520-620万元,400-176-0760 转 630146
汤山温泉康养小镇,江宁汤山街道美泉路9号,"['一居(1)', '二居(2)', '四居(5)']",24500元/m^2,186-649万元,400-176-0760 转 703503
中交保利·翠语江岚,栖霞栖霞-仙林-栖霞山 欢乐谷 公办南外旁,['三居(2)'],22000元/m^2,187-246万元,400-176-0760 转 622398
